index,hand,age,ace,df,svpt,svGms,bpSaved,bpFaced,rank,result,1stIn(%),1stWon(%),2ndWon(%)
0,0,27.1,5,3,127,17,8,15,35,1,72,61,31
1,0,27.5,2,3,49,8,8,13,70,0,53,50,45
2,0,23.7,14,4,91,15,2,4,43,0,53,88,54
3,1,32.5,6,3,52,9,3,3,46,1,52,85,73
4,0,20.5,2,3,63,9,6,7,79,1,52,88,41
5,0,22.8,3,4,85,12,2,6,90,1,61,67,52
6,0,33,2,3,74,10,3,4,98,0,49,64,60
7,0,21,11,1,69,10,2,2,13,1,62,74,72
8,0,32,1,3,66,10,4,6,43,0,70,63,65
9,0,27.9,16,5,102,16,6,7,8,1,54,82,62
10,0,26.6,9,5,73,11,7,10,23,0,63,70,55
11,0,26.6,7,5,90,13,7,12,74,0,52,68,58
12,0,21.9,6,3,81,11,6,10,217,1,68,65,43
13,0,30.4,1,2,83,11,8,11,90,0,65,63,56
14,0,22.2,5,5,53,9,1,2,159,1,53,82,65
15,0,24.1,19,2,50,9,0,0,6,1,78,92,67
16,0,23.8,8,3,120,19,10,12,125,1,63,67,71
17,1,26.6,2,1,49,9,2,4,123,0,67,67,53
18,0,25.6,6,1,47,9,3,5,11,1,47,77,58
19,0,26.2,19,4,71,14,2,3,51,1,72,88,69
20,0,26.3,7,2,56,8,6,7,50,1,45,68,66
21,0,25,9,1,48,8,4,7,6,0,52,68,50
22,0,26.8,8,3,77,13,1,4,1004,0,62,69,58
23,0,21,5,0,51,11,0,0,3,1,69,83,100
24,0,29.8,2,2,55,8,6,9,174,0,64,54,56
25,0,26.5,0,1,81,13,2,4,194,1,68,76,44
26,0,24.2,0,20,112,14,10,17,9,1,61,60,75
27,0,25.4,3,4,107,16,8,13,323,0,62,67,57
28,0,29.8,0,1,49,8,5,9,44,0,84,59,14
29,0,20.8,14,2,43,9,1,1,21,1,70,93,82
30,1,24.7,1,6,62,10,2,4,13,1,77,67,88
31,0,27.3,4,3,79,13,5,6,8,1,61,73,64
32,0,28.6,0,1,55,9,2,5,6,0,71,59,60
33,0,27,11,8,97,16,3,7,69,0,49,77,56
34,0,21.3,3,1,72,10,4,6,16,1,69,68,52
35,1,34.2,0,1,67,10,4,6,37,0,76,65,53
36,0,25.8,14,4,104,15,9,12,73,0,65,72,50
37,0,29.9,0,4,69,11,4,6,95,0,72,72,47
38,0,30.3,4,6,104,17,10,17,17,0,68,66,48
39,1,22,0,6,50,8,5,9,14,0,48,62,50
40,1,25.3,6,2,108,13,14,21,158,0,62,51,49
41,0,26.5,10,3,68,12,3,5,1,1,54,76,68
42,0,29.1,13,6,111,14,7,12,66,0,65,67,45
43,0,25.7,26,5,185,29,6,9,20,0,69,76,60
44,0,27.2,1,1,50,8,5,8,14,0,70,57,50
45,0,20.4,4,7,108,14,6,10,1129,0,53,68,50
46,0,25.9,2,1,51,8,4,7,56,0,35,72,53
47,0,21.9,6,8,109,16,7,11,39,0,63,71,50
48,0,30.4,0,0,122,15,13,16,111,1,51,71,47
49,0,26.8,3,0,80,15,2,6,69,0,69,76,44
50,0,32.8,3,0,94,11,4,6,80,0,65,56,67
