index,surface,age,ace,df,svpt,svGms,bpSaved,bpFaced,result,1stIn(%),1stWon(%),2ndWon(%)
0,Clay,28.4,5,3,65,11,1,2,1,78,82,64
1,Hard,22.1,17,4,99,15,2,5,0,61,72,43
2,Clay,25.8,0,3,89,15,0,4,1,75,66,63
3,Clay,26.8,6,6,70,11,4,6,0,53,81,56
4,Hard,21.9,5,0,57,10,1,2,0,63,78,67
5,Grass,35.1,6,3,68,8,11,14,0,59,75,28
6,Hard,32,3,6,86,13,3,5,1,56,69,66
7,Hard,23,11,2,63,10,2,2,1,62,90,64
8,Hard,30.4,12,4,115,17,6,8,1,65,77,56
9,Hard,23.8,4,1,72,10,1,2,1,68,71,59
10,Clay,22.5,4,3,86,14,6,12,0,63,61,45
11,Clay,26.1,12,7,124,18,7,12,0,56,67,47
12,Hard,30.7,7,2,61,11,1,2,1,56,76,68
13,Hard,27.8,11,4,94,15,2,4,1,67,73,59
14,Hard,25,8,1,80,15,0,2,1,51,73,66
15,Hard,31.6,8,6,80,13,3,4,1,46,76,73
16,Hard,30.3,0,3,51,9,2,5,1,61,71,47
17,Hard,23.1,10,9,69,11,9,12,0,55,82,50
18,Hard,25.2,5,1,59,9,4,4,1,47,86,60
19,Hard,23.4,3,1,72,14,1,5,1,50,81,60
20,Clay,17.5,8,1,72,10,3,7,0,53,68,39
21,Hard,21.4,1,6,86,10,6,9,0,52,62,57
22,Clay,26.9,2,2,47,8,0,1,1,57,78,56
23,Hard,24.8,2,4,155,18,10,20,0,63,64,26
24,Clay,26.5,13,6,102,15,6,10,0,67,69,43
25,Clay,25.3,3,2,56,9,3,8,0,75,57,42
26,Clay,21,4,4,51,9,1,2,1,55,75,68
27,Grass,22.7,5,4,91,15,3,6,0,64,67,62
28,Hard,27.4,5,7,183,23,11,19,0,55,64,49
29,Grass,27.4,11,3,95,15,4,6,0,59,71,56
30,Grass,33.9,4,1,95,15,3,7,1,62,68,54
31,Hard,24.6,10,5,97,18,0,1,1,53,94,59
32,Hard,31.3,6,4,77,11,2,2,1,66,80,59
33,Hard,21.8,4,0,66,9,5,5,1,67,70,59
34,Hard,21.6,6,1,77,13,3,3,1,62,77,75
35,Clay,24.3,1,2,57,9,1,1,1,60,79,62
36,Hard,20.5,11,11,93,10,13,16,0,44,76,54
37,Hard,29.1,7,2,63,9,1,3,0,63,65,62
38,Hard,26.3,0,1,54,9,1,3,0,72,64,64
39,Hard,25.7,9,4,88,14,3,5,0,73,80,40
40,Clay,31.1,9,3,130,16,13,16,1,72,66,50
41,Hard,30.5,13,0,47,10,0,0,1,53,92,77
42,Hard,25.7,3,4,88,14,7,11,0,61,69,53
43,Grass,32.5,6,4,66,11,4,5,1,56,84,60
44,Hard,27,6,4,110,15,7,9,1,55,75,49
45,Hard,29.8,17,1,61,11,2,2,1,72,91,62
46,Hard,28.7,1,3,60,9,3,6,1,63,61,58
47,Grass,29.4,17,6,131,17,16,19,0,53,74,53
48,Clay,27,2,5,60,10,3,6,0,65,67,62
49,Hard,36.3,9,2,176,26,12,17,1,64,69,56
50,Hard,26.4,8,7,181,25,7,15,0,60,66,47
51,Clay,27,4,4,97,15,4,9,1,59,68,50
52,Hard,22.5,9,9,144,21,10,14,0,56,65,67
53,Clay,31.1,3,2,72,13,5,11,0,67,65,41
54,Hard,24.6,2,2,58,9,2,6,0,72,60,50
55,Hard,25.3,8,3,106,17,2,4,1,57,80,51
56,Clay,28.8,3,0,66,10,3,4,1,55,81,57
57,Hard,26.8,11,11,120,15,12,16,0,56,78,43
58,Hard,31.1,7,8,91,14,6,11,0,60,69,50
59,Clay,19.7,3,4,73,14,2,5,0,63,67,74
60,Hard,30.7,2,0,50,9,1,4,0,68,62,50
61,Hard,21.2,5,0,44,8,1,1,1,73,81,75
62,Hard,31.2,1,5,91,13,9,14,1,73,59,70
63,Hard,37.2,2,7,65,10,3,8,0,52,62,50
64,Clay,29,5,2,93,15,1,3,1,58,80,59
65,Clay,28.6,4,1,73,12,1,3,1,60,77,46
66,Grass,26.3,5,0,47,9,0,0,1,64,83,71
67,Hard,25,2,0,42,8,2,3,1,64,74,73
68,Clay,20.6,3,4,124,16,9,15,0,72,58,55
69,Hard,22.9,4,1,63,9,4,5,1,49,74,55
70,Hard,32.4,2,2,63,11,0,1,1,59,76,62
71,Hard,21.8,11,4,49,9,3,3,1,39,89,85
72,Clay,23.4,2,0,59,10,0,2,1,59,66,71
73,Hard,22.6,20,1,136,23,4,6,1,64,77,58
74,Hard,23.9,3,3,118,17,7,14,0,53,54,52
75,Clay,25.3,13,2,59,10,7,8,1,61,86,57
76,Grass,27.4,11,6,77,11,8,12,0,58,64,54
77,Hard,21.5,0,3,54,9,1,6,0,46,56,42
78,Hard,25.2,5,3,115,14,15,17,0,60,68,58
79,Clay,32.4,1,3,57,9,3,5,1,70,70,50
80,Hard,25.6,8,3,57,10,1,4,1,58,79,43
81,Hard,24,14,3,92,16,2,5,0,66,84,46
82,Clay,28.1,5,6,133,22,8,14,1,56,72,58
83,Grass,29.2,4,1,88,14,8,12,0,75,62,48
84,Clay,21.9,19,11,148,23,10,16,0,56,71,56
85,Hard,28.3,3,3,102,16,10,18,0,56,58,45
86,Hard,24.4,15,1,87,16,3,4,1,75,82,52
87,Hard,23.4,7,2,64,10,5,9,0,58,68,40
88,Hard,24.4,1,0,77,13,5,9,0,66,65,50
89,Clay,25.6,0,3,75,14,3,8,1,51,55,71
90,Hard,24.1,5,2,42,8,1,1,1,60,84,80
91,Hard,27.8,5,1,51,8,1,1,1,51,85,54
92,Hard,24.9,6,3,97,16,1,4,0,59,75,54
93,Hard,26.2,3,6,102,16,7,13,0,64,62,55
94,Grass,31.8,7,9,75,11,6,7,1,57,79,78
95,Hard,25,3,4,73,10,5,9,0,56,68,39
96,Clay,30.4,6,3,90,14,1,1,1,51,76,68
97,Hard,26,18,1,59,9,1,1,1,61,86,55
98,Hard,25.2,5,4,126,21,6,15,0,66,60,46
99,Hard,22.8,1,6,57,9,1,2,1,54,77,75
100,Clay,27.8,2,1,67,9,2,6,0,69,67,25
101,Grass,30.4,4,6,98,15,7,13,0,66,66,41
102,Clay,24,1,2,76,11,2,4,0,55,67,59
103,Grass,25,5,10,115,15,9,14,0,56,64,56
104,Grass,21.7,14,1,90,15,6,6,1,60,91,63
105,Clay,20,2,0,61,10,4,7,0,59,64,56
106,Hard,27.7,2,1,51,8,1,1,1,55,79,64
107,Grass,22.9,21,5,121,19,1,5,1,73,73,64
108,Clay,23.9,9,2,83,14,8,10,1,67,77,48
109,Hard,30.7,3,2,80,11,7,9,0,59,74,45
110,Clay,21.1,5,4,120,14,13,18,0,63,59,60
111,Hard,26.4,5,2,133,20,10,16,1,59,71,46
112,Hard,20.1,6,3,68,11,2,6,0,66,58,50
113,Hard,23.6,13,5,131,19,3,6,1,56,70,60
114,Grass,29.7,5,6,91,15,4,8,0,69,70,59
115,Hard,25,6,2,76,12,5,7,1,67,71,57
116,Hard,20.9,4,0,78,14,2,3,1,71,78,57
117,Hard,24.2,1,1,67,11,2,2,1,64,79,70
118,Hard,25.4,1,0,65,9,11,16,0,71,52,47
119,Hard,26.1,15,6,81,11,3,3,1,59,83,63
120,Clay,21,2,3,66,9,6,8,1,61,65,57
121,Carpet,21.9,9,2,60,9,2,4,0,68,78,29
122,Hard,24,3,3,49,9,0,5,0,59,59,35
123,Hard,27.4,2,6,80,12,2,9,0,52,52,38
124,Clay,29.6,2,2,64,9,5,9,0,64,51,57
125,Grass,27.6,7,4,121,18,3,7,0,59,70,57
126,Clay,23.5,3,0,46,8,3,8,0,80,46,33
127,Clay,29.7,2,3,51,8,3,8,0,47,58,42
128,Carpet,25.1,6,6,101,16,5,8,1,46,74,67
129,Hard,28.7,3,4,56,8,7,11,0,77,58,44
130,Hard,23,5,1,72,10,5,11,0,62,56,46
131,Hard,25.7,4,1,49,9,3,7,0,61,63,50
132,Hard,28,0,0,63,12,0,4,1,46,66,53
133,Grass,22.6,6,4,134,19,12,17,0,57,60,62
134,Grass,29.7,34,9,121,21,3,4,1,60,88,70
135,Hard,22.9,1,4,70,9,8,13,0,43,63,36
136,Hard,33.2,4,4,75,14,0,0,1,55,90,83
137,Clay,21.7,1,1,58,8,3,7,0,60,57,36
138,Clay,22.6,3,3,90,15,7,11,0,44,75,55
139,Hard,24.2,10,3,110,16,8,12,0,64,74,43
140,Hard,25.5,10,6,84,11,10,12,0,61,67,63
141,Hard,27.5,12,1,82,14,3,6,1,65,75,43
142,Grass,22.6,3,6,103,15,3,8,0,55,72,48
143,Hard,35.6,8,1,72,12,1,3,1,49,89,67
144,Clay,25.9,3,4,77,12,6,14,0,56,49,40
145,Clay,21.9,1,3,38,8,0,1,1,61,78,83
146,Hard,25,5,2,75,11,4,7,1,57,74,43
147,Hard,21.6,6,3,75,12,1,4,1,51,74,56
148,Hard,23.9,11,1,107,16,5,7,0,52,68,68
149,Hard,28.5,13,0,57,11,4,5,1,56,94,56
150,Hard,21,6,6,100,13,8,12,1,52,65,55
151,Hard,26.8,0,5,52,9,3,5,1,54,86,47
152,Hard,30.1,7,1,68,13,3,4,1,62,88,60
153,Clay,23.9,8,0,72,13,5,7,1,64,65,69
154,Carpet,21.5,3,7,75,10,10,14,0,59,61,58
155,Clay,24.7,5,2,66,10,6,10,0,55,61,46
156,Clay,26.4,8,7,133,17,6,9,0,51,79,48
157,Hard,23.3,6,1,64,10,2,3,1,52,79,53
158,Hard,23.5,5,6,53,8,2,2,1,42,86,68
159,Hard,29.2,4,6,98,15,6,13,0,57,62,47
160,Hard,25.7,5,6,80,10,8,13,0,49,56,54
161,Hard,33.7,10,1,56,10,3,4,1,71,85,60
162,Carpet,32.6,0,5,70,10,4,7,0,37,77,51
163,Hard,26.7,3,1,112,16,9,13,0,56,65,54
164,Grass,24.6,9,1,118,20,1,2,1,64,75,73
165,Hard,28.9,2,5,69,11,1,3,0,64,77,50
166,Clay,26.2,11,0,60,10,0,0,1,57,85,62
167,Hard,32.5,4,7,111,13,11,15,0,62,64,57
168,Hard,22.8,8,8,96,14,10,12,0,35,85,59
169,Hard,31.2,1,3,49,9,0,2,0,67,70,62
170,Clay,28.7,4,0,62,10,2,3,1,60,81,60
171,Hard,23.2,7,2,51,8,2,2,1,63,81,53
172,Clay,32.3,0,3,71,9,7,11,0,56,60,46
173,Clay,21.3,3,4,69,12,5,12,0,46,59,33
174,Grass,27.1,6,2,64,12,0,0,1,66,83,70
175,Clay,22.1,5,1,60,13,0,1,1,55,88,73
176,Hard,24.1,4,4,89,11,5,5,1,65,72,59
177,Carpet,25.4,12,1,43,9,0,0,1,63,89,80
178,Clay,31.6,0,3,53,9,1,2,1,72,74,58
179,Clay,26.8,3,1,55,10,0,2,1,55,77,54
180,Grass,26.5,3,3,52,10,0,1,1,56,83,75
181,Hard,25.1,1,2,84,12,4,7,1,61,75,52
182,Grass,27.5,32,6,133,23,3,6,0,70,80,62
183,Clay,26.8,3,4,85,13,3,7,1,67,72,38
184,Grass,27.8,4,2,75,11,0,0,1,73,73,78
185,Hard,33.4,1,3,61,10,7,10,0,64,67,58
186,Hard,21.9,0,2,57,9,6,8,0,67,63,65
187,Clay,23.8,12,2,161,27,8,19,1,53,63,45
188,Clay,29.1,1,1,63,11,0,2,1,67,79,60
189,Hard,27.4,4,0,63,8,6,11,0,51,59,32
190,Clay,24.8,2,1,46,9,0,1,1,85,72,83
191,Hard,19.8,8,5,162,21,10,11,1,65,74,57
192,Clay,27.3,3,7,73,11,3,4,1,56,76,76
193,Clay,26,3,4,97,16,9,15,1,64,71,42
194,Clay,30.6,12,9,97,15,5,9,0,51,76,56
195,Hard,18,8,5,107,14,4,7,1,57,75,51
