level_0,index,tourney_name,surface,tourney_date,player_id,age,opponent_id,score,round,ace,df,svpt,1stIn,1stWon,2ndWon,svGms,bpSaved,bpFaced,result,1stIn(%),1stWon(%),2ndWon(%)
30,30,Doha,Hard,20181231,104925,31.6,105932,4-6 6-3 6-4,QF,7,3,86,57,41,15,15,3,6,1,66,72,58
34,34,Doha,Hard,20181231,104925,31.6,105916,4-6 6-4 6-1,R16,5,1,75,53,39,13,14,2,4,1,71,74,62
41,41,Doha,Hard,20181231,104925,31.6,106000,6-1 6-2,R32,3,2,42,26,21,11,8,0,0,1,62,81,79
138,138,Australian Open,Hard,20190114,104925,31.6,104745,6-3 6-2 6-3,F,8,0,69,50,40,16,13,1,1,1,72,80,84
144,144,Australian Open,Hard,20190114,104925,31.6,105453,6-1 4-1 RET,QF,2,1,29,20,17,8,6,0,0,1,69,85,100
151,151,Australian Open,Hard,20190114,104925,31.6,106421,6-4 6-7(5) 6-2 6-3,R16,6,5,126,84,61,21,20,7,9,1,67,73,57
161,161,Australian Open,Hard,20190114,104925,31.6,133430,6-3 6-4 4-6 6-0,R32,5,4,90,55,41,22,18,2,5,1,61,75,71
164,164,Australian Open,Hard,20190114,104925,31.6,106298,6-0 6-2 6-2,SF,6,0,53,38,32,13,11,0,0,1,72,84,87
169,169,Australian Open,Hard,20190114,104925,31.6,106283,6-3 6-2 6-2,R128,6,2,65,48,41,10,13,1,2,1,74,85,67
185,185,Australian Open,Hard,20190114,104925,31.6,104542,6-3 7-5 6-4,R64,12,1,87,61,45,18,16,3,5,1,70,74,72
635,635,Indian Wells Masters,Hard,20190304,104925,31.7,106216,7-6(5) 6-2,R64,3,0,61,37,28,17,10,1,2,1,61,76,71
714,714,Miami Masters,Hard,20190318,104925,31.8,105643,7-5 4-6 6-1,R32,3,3,77,53,41,12,15,1,4,1,69,77,57
730,730,Miami Masters,Hard,20190318,104925,31.8,106071,7-6(2) 6-2,R64,11,3,58,36,29,14,10,0,1,1,62,81,74
856,856,Monte Carlo Masters,Clay,20190415,104925,31.8,126203,6-3 6-0,R16,3,3,44,23,16,12,7,1,2,1,52,70,67
864,864,Monte Carlo Masters,Clay,20190415,104925,31.8,104259,6-3 4-6 6-4,R32,1,8,118,73,47,22,15,12,16,1,62,64,59
1031,1031,Madrid Masters,Clay,20190506,104925,31.9,126774,6-3 6-4,F,2,0,59,40,31,11,10,0,0,1,68,78,58
1032,1032,Madrid Masters,Clay,20190506,104925,31.9,106233,7-6(2) 7-6(4),SF,3,1,90,55,41,16,12,7,10,1,61,75,47
1037,1037,Madrid Masters,Clay,20190506,104925,31.9,104871,6-1 7-6(2),R16,4,2,62,42,35,12,10,4,4,1,68,83,67
1045,1045,Madrid Masters,Clay,20190506,104925,31.9,126203,6-4 6-2,R32,7,2,46,34,29,9,9,1,1,1,74,85,90
