level_0,index,tourney_name,surface,tourney_date,player_id,age,opponent_id,score,round,ace,df,svpt,1stIn,1stWon,2ndWon,svGms,bpSaved,bpFaced,result,1stIn(%),1stWon(%),2ndWon(%)
170,170,Australian Open,Hard,20190114,103819,37.4,105554,7-6(5) 7-6(3) 6-3,R64,11,1,99,62,52,24,17,2,3,1,63,84,67
196,196,Australian Open,Hard,20190114,103819,37.4,104797,6-3 6-4 6-4,R128,14,2,82,46,38,24,15,0,0,1,56,83,71
197,197,Australian Open,Hard,20190114,103819,37.4,126203,6-2 7-5 6-2,R32,10,3,70,43,40,17,14,0,0,1,61,93,71
548,548,Dubai,Hard,20190225,103819,37.5,126774,6-4 6-4,F,6,0,55,42,35,8,10,2,2,1,76,83,62
550,550,Dubai,Hard,20190225,103819,37.5,106432,6-2 6-2,SF,7,1,44,25,20,13,8,0,0,1,57,80,72
554,554,Dubai,Hard,20190225,103819,37.5,105916,7-6(6) 6-4,QF,2,2,80,50,38,13,11,2,3,1,62,76,46
562,562,Dubai,Hard,20190225,103819,37.5,104269,6-3 3-6 6-3,R16,10,2,78,55,43,15,14,2,3,1,71,78,71
578,578,Dubai,Hard,20190225,103819,37.5,104259,6-4 3-6 6-1,R32,7,3,67,48,38,11,13,1,3,1,72,79,69
609,609,Indian Wells Masters,Hard,20190304,103819,37.5,128034,6-4 6-4,QF,4,3,59,32,27,16,10,2,2,1,54,84,67
616,616,Indian Wells Masters,Hard,20190304,103819,37.5,106378,6-1 6-4,R16,6,0,65,43,34,11,9,7,7,1,66,79,50
630,630,Indian Wells Masters,Hard,20190304,103819,37.5,104527,6-3 6-4,R32,4,0,50,34,28,12,10,0,0,1,68,82,75
658,658,Indian Wells Masters,Hard,20190304,103819,37.5,105376,6-1 7-5,R64,2,6,58,32,26,15,10,6,7,1,55,81,75
699,699,Miami Masters,Hard,20190318,103819,37.6,104545,6-1 6-4,F,6,1,35,20,20,12,8,0,0,1,57,100,86
701,701,Miami Masters,Hard,20190318,103819,37.6,133430,6-2 6-4,SF,2,1,45,22,20,17,9,2,2,1,49,91,77
704,704,Miami Masters,Hard,20190318,103819,37.6,104731,6-0 6-4,QF,3,2,42,25,20,9,8,0,1,1,60,80,60
711,711,Miami Masters,Hard,20190318,103819,37.6,106421,6-4 6-2,R16,5,0,48,33,28,9,9,3,3,1,69,85,60
725,725,Miami Masters,Hard,20190318,103819,37.6,105936,7-5 6-3,R32,14,1,59,43,32,9,11,1,2,1,73,74,60
