level_0,index,tourney_name,surface,tourney_date,player_id,age,opponent_id,score,round,ace,df,svpt,1stIn,1stWon,2ndWon,svGms,bpSaved,bpFaced,result,1stIn(%),1stWon(%),2ndWon(%)
150,150,Australian Open,Hard,20190114,104745,32.6,126774,6-2 6-4 6-0,SF,5,0,61,40,34,15,12,1,1,1,66,85,71
163,163,Australian Open,Hard,20190114,104745,32.6,200282,6-1 6-2 6-4,R32,6,6,87,65,53,8,13,4,4,1,75,82,50
186,186,Australian Open,Hard,20190114,104745,32.6,105902,6-4 6-3 7-5,R128,6,2,81,54,40,16,16,1,3,1,67,74,64
193,193,Australian Open,Hard,20190114,104745,32.6,105051,6-3 6-2 6-2,R64,6,4,81,53,43,16,13,4,4,1,65,81,67
194,194,Australian Open,Hard,20190114,104745,32.6,104607,6-0 6-1 7-6(4),R16,5,1,81,56,45,16,13,2,2,1,69,80,67
195,195,Australian Open,Hard,20190114,104745,32.6,126207,6-3 6-4 6-2,QF,11,0,77,57,48,12,14,2,2,1,74,84,60
532,532,Acapulco,Hard,20190225,104745,32.7,104999,6-3 6-3,R32,3,4,56,30,20,19,9,1,1,1,54,67,86
610,610,Indian Wells Masters,Hard,20190304,104745,32.7,111575,7-6(2) 7-6(2),QF,1,3,84,50,38,19,12,4,6,1,60,76,61
618,618,Indian Wells Masters,Hard,20190304,104745,32.7,105936,6-3 6-4,R16,7,0,52,29,20,19,10,0,1,1,56,69,83
634,634,Indian Wells Masters,Hard,20190304,104745,32.7,106043,6-3 6-1,R32,3,1,43,27,22,11,8,0,0,1,63,81,73
666,666,Indian Wells Masters,Hard,20190304,104745,32.7,111577,6-1 6-1,R64,6,3,37,20,17,11,7,0,0,1,54,85,79
855,855,Monte Carlo Masters,Clay,20190415,104745,32.8,105550,7-6(1) 6-3,QF,4,3,73,48,28,11,10,8,13,1,66,58,50
863,863,Monte Carlo Masters,Clay,20190415,104745,32.8,105777,6-4 6-1,R16,1,3,58,32,26,12,9,1,2,1,55,81,52
878,878,Monte Carlo Masters,Clay,20190415,104745,32.8,105138,6-1 6-1,R32,0,3,47,28,18,14,7,5,5,1,60,64,88
906,906,Barcelona,Clay,20190422,104745,32.8,105526,7-5 7-5,QF,3,0,59,44,32,13,12,1,2,1,75,73,87
910,910,Barcelona,Clay,20190422,104745,32.8,103970,6-3 6-3,R16,0,1,61,43,28,10,9,4,5,1,70,65,59
918,918,Barcelona,Clay,20190422,104745,32.8,104919,6-7(7) 6-4 6-2,R32,1,2,91,59,41,22,15,2,3,1,65,69,73
1036,1036,Madrid Masters,Clay,20190506,104745,32.9,104527,6-1 6-2,QF,0,0,39,28,22,10,8,0,0,1,72,79,91
1044,1044,Madrid Masters,Clay,20190506,104745,32.9,126207,6-3 6-4,R16,6,0,51,33,29,12,10,1,1,1,65,88,67
1060,1060,Madrid Masters,Clay,20190506,104745,32.9,200000,6-3 6-3,R32,2,3,45,32,27,7,9,0,1,1,71,84,70
1085,1085,Rome Masters,Clay,20190513,104745,32.9,104925,6-0 4-6 6-1,F,0,0,66,48,35,11,11,1,2,1,73,73,61
1087,1087,Rome Masters,Clay,20190513,104745,32.9,126774,6-3 6-4,SF,1,1,59,35,25,19,10,2,2,1,59,71,83
1090,1090,Rome Masters,Clay,20190513,104745,32.9,104269,6-4 6-0,QF,2,1,59,41,31,7,8,8,9,1,69,76,41
1098,1098,Rome Masters,Clay,20190513,104745,32.9,105932,6-1 6-0,R16,1,1,37,25,20,9,7,1,1,1,68,80,82
1114,1114,Rome Masters,Clay,20190513,104745,32.9,104871,6-0 6-1,R32,1,1,39,25,17,12,7,1,1,1,64,68,92
1255,1255,Roland Garros,Clay,20190527,104745,32.9,105870,6-2 6-1 6-3,R128,5,2,68,47,39,13,12,4,4,1,69,83,68
1287,1287,Roland Garros,Clay,20190527,104745,32.9,120424,6-1 6-2 6-4,R64,3,3,72,46,34,16,13,0,2,1,64,74,70
1303,1303,Roland Garros,Clay,20190527,104745,32.9,105676,6-1 6-3 4-6 6-3,R32,5,5,96,56,44,28,18,1,2,1,58,79,80
1311,1311,Roland Garros,Clay,20190527,104745,32.9,106228,6-2 6-3 6-3,R16,6,1,76,54,40,13,13,4,5,1,71,74,62
1315,1315,Roland Garros,Clay,20190527,104745,32.9,105453,6-1 6-1 6-3,QF,3,3,69,50,38,10,12,4,5,1,72,76,62
1317,1317,Roland Garros,Clay,20190527,104745,32.9,103819,6-3 6-4 6-2,SF,3,1,88,72,49,9,14,2,4,1,82,68,60
1318,1318,Roland Garros,Clay,20190527,104745,32.9,106233,6-3 5-7 6-1 6-1,F,3,0,106,78,57,18,18,4,6,1,74,73,64
1534,1534,Wimbledon,Grass,20190701,104745,33,105216,6-3 6-1 6-3,R128,11,2,82,46,36,21,13,4,5,1,56,78,62
1574,1574,Wimbledon,Grass,20190701,104745,33,106401,6-3 3-6 7-6(5) 7-6(3),R64,10,2,115,73,60,30,23,0,2,1,63,82,75
1594,1594,Wimbledon,Grass,20190701,104745,33,104542,6-2 6-3 6-2,R32,11,1,63,44,39,14,13,0,0,1,70,89,78
1604,1604,Wimbledon,Grass,20190701,104745,33,105311,6-2 6-2 6-2,R16,5,3,61,35,30,18,12,0,0,1,57,86,78
1609,1609,Wimbledon,Grass,20190701,104745,33,105023,7-5 6-2 6-2,QF,10,2,92,55,45,20,14,6,7,1,60,82,57
1880,1880,Canada Masters,Hard,20190805,104745,33.1,106421,6-3 6-0,F,0,1,46,33,27,8,8,1,1,1,72,82,67
1882,1882,Canada Masters,Hard,20190805,104745,33.1,104926,2-6 6-1 6-2,QF,7,1,70,40,35,11,12,3,5,1,57,88,38
1886,1886,Canada Masters,Hard,20190805,104745,33.1,105550,6-3 6-4,R16,7,2,63,41,32,11,10,2,3,1,65,78,55
1894,1894,Canada Masters,Hard,20190805,104745,33.1,105554,7-6(6) 6-4,R32,7,1,67,39,31,17,11,0,2,1,58,79,63
2098,2098,US Open,Hard,20190826,104745,33.2,105357,6-3 6-2 6-2,R128,6,3,77,44,35,19,13,3,3,1,57,80,63
2144,2144,US Open,Hard,20190826,104745,33.2,111202,6-3 6-4 6-2,R32,4,1,71,36,32,24,14,0,0,1,51,89,71
2152,2152,US Open,Hard,20190826,104745,33.2,105227,6-3 3-6 6-1 6-2,R16,11,6,93,53,44,19,17,1,3,1,57,83,56
2156,2156,US Open,Hard,20190826,104745,33.2,106043,6-4 7-5 6-2,QF,5,1,91,57,40,17,15,6,10,1,63,70,52
2158,2158,US Open,Hard,20190826,104745,33.2,126610,7-6(6) 6-4 6-1,SF,4,4,75,41,37,25,14,0,0,1,55,90,83
2159,2159,US Open,Hard,20190826,104745,33.2,106421,7-5 6-3 5-7 4-6 6-4,F,5,5,159,93,72,34,27,10,15,1,58,77,56
2532,2532,Paris Masters,Hard,20191028,104745,33.4,104542,7-6(4) 6-1,QF,7,1,58,40,37,8,10,0,0,1,69,92,47
2540,2540,Paris Masters,Hard,20191028,104745,33.4,104527,6-4 6-4,R16,4,1,62,39,30,14,10,2,2,1,63,77,64
2556,2556,Paris Masters,Hard,20191028,104745,33.4,105173,7-5 6-4,R32,8,0,61,43,33,14,11,0,0,1,70,77,78
2576,2576,Tour Finals,Hard,20191111,104745,33.4,106421,6-7(3) 6-3 7-6(4),RR,4,2,107,69,50,22,16,4,6,1,64,72,61
2577,2577,Tour Finals,Hard,20191111,104745,33.4,126774,6-7(4) 6-4 7-5,RR,6,3,93,61,52,18,17,0,0,1,66,85,62
2595,2595,Davis Cup Finals RR: CRO vs ESP,Hard,20191120,104745,33.4,127339,6-4 6-3,RR,6,1,40,29,27,9,10,0,0,1,72,93,90
2599,2599,Davis Cup Finals RR: ESP vs RUS,Hard,20191119,104745,33.4,111575,6-3 7-6(7),RR,11,1,82,55,40,14,11,2,2,1,67,73,54
2625,2625,Davis Cup Finals QF: ARG vs ESP,Hard,20191122,104745,33.4,106043,6-1 6-2,RR,8,0,38,23,22,10,8,0,0,1,61,96,67
2629,2629,Davis Cup Finals F: CAN vs ESP,Hard,20191124,104745,33.4,133430,6-3 7-6(7),RR,7,1,74,51,42,13,11,1,1,1,69,82,59
2631,2631,Davis Cup Finals SF: GBR vs ESP,Hard,20191123,104745,33.4,105554,6-4 6-0,RR,9,0,46,29,24,11,8,0,0,1,63,83,65
2830,2830,Australian Open,Hard,20180115,104745,31.6,103607,6-1 6-1 6-1,R128,2,1,66,48,37,12,11,5,6,1,73,77,71
2894,2894,Australian Open,Hard,20180115,104745,31.6,104919,6-3 6-4 7-6(4),R64,4,1,94,69,55,15,16,4,5,1,73,80,62
2926,2926,Australian Open,Hard,20180115,104745,31.6,106000,6-1 6-3 6-1,R32,4,0,79,51,34,19,12,1,2,1,65,67,68
2942,2942,Australian Open,Hard,20180115,104745,31.6,106043,6-3 6-7(4) 6-3 6-3,R16,7,4,146,100,63,28,20,15,18,1,68,63,67
3622,3622,Davis Cup WG QF: ESP vs GER,Clay,20180406,104745,31.8,104259,6-2 6-2 6-3,RR,3,8,78,43,33,18,13,4,6,1,55,77,67
3623,3623,Davis Cup WG QF: ESP vs GER,Clay,20180406,104745,31.8,100644,6-1 6-4 6-4,RR,0,3,82,52,36,19,14,4,6,1,63,69,70
3760,3760,Monte Carlo Masters,Clay,20180416,104745,31.8,105379,6-1 6-3,R32,0,0,48,32,24,11,8,2,2,1,67,75,69
3767,3767,Monte Carlo Masters,Clay,20180416,104745,31.8,111575,6-3 6-2,R16,3,1,45,28,22,11,9,0,1,1,62,79,69
3771,3771,Monte Carlo Masters,Clay,20180416,104745,31.8,106233,6-0 6-2,QF,0,1,35,25,21,8,7,0,0,1,71,84,89
3773,3773,Monte Carlo Masters,Clay,20180416,104745,31.8,105777,6-4 6-1,SF,0,1,53,35,22,13,9,1,2,1,66,63,76
3774,3774,Monte Carlo Masters,Clay,20180416,104745,31.8,105453,6-3 6-2,F,1,3,54,38,28,9,9,1,2,1,70,74,69
3806,3806,Barcelona,Clay,20180423,104745,31.8,106148,6-4 6-4,R32,1,0,62,39,26,14,10,3,5,1,63,67,61
3814,3814,Barcelona,Clay,20180423,104745,31.8,104198,6-1 6-3,R16,0,0,46,25,15,14,8,0,1,1,54,60,67
3818,3818,Barcelona,Clay,20180423,104745,31.8,105373,6-0 7-5,QF,2,3,51,28,19,17,9,1,2,1,55,68,85
3820,3820,Barcelona,Clay,20180423,104745,31.8,105676,6-4 6-0,SF,2,0,42,26,20,11,8,0,1,1,62,77,69
3821,3821,Barcelona,Clay,20180423,104745,31.8,126774,6-2 6-1,F,0,3,49,35,27,6,7,3,3,1,71,77,55
3969,3969,Madrid Masters,Clay,20180507,104745,31.9,104792,6-3 6-1,R32,1,0,45,30,26,9,8,3,3,1,67,87,60
3977,3977,Madrid Masters,Clay,20180507,104745,31.9,106043,6-3 6-4,R16,1,1,63,44,29,14,10,3,4,1,70,66,78
4024,4024,Rome Masters,Clay,20180514,104745,31.9,106000,6-1 6-0,R32,0,1,37,25,19,9,7,0,0,1,68,76,82
4032,4032,Rome Masters,Clay,20180514,104745,31.9,133430,6-4 6-1,R16,2,1,37,31,28,4,8,0,0,1,84,90,80
4036,4036,Rome Masters,Clay,20180514,104745,31.9,104926,4-6 6-1 6-2,QF,3,1,74,46,35,16,13,3,5,1,62,76,59
4038,4038,Rome Masters,Clay,20180514,104745,31.9,104925,7-6(4) 6-3,SF,1,2,65,39,25,18,10,2,3,1,60,64,75
4039,4039,Rome Masters,Clay,20180514,104745,31.9,100644,6-1 1-6 6-3,F,0,1,72,47,27,17,12,7,11,1,65,57,71
4094,4094,Roland Garros,Clay,20180528,104745,31.9,104620,6-4 6-3 7-6(9),R128,2,3,109,63,47,27,16,5,7,1,58,75,63
4158,4158,Roland Garros,Clay,20180528,104745,31.9,105550,6-2 6-1 6-1,R64,4,3,60,34,29,17,11,4,4,1,57,85,74
4190,4190,Roland Garros,Clay,20180528,104745,31.9,104755,6-3 6-2 6-2,R32,3,2,63,39,33,17,13,1,2,1,62,85,77
4206,4206,Roland Garros,Clay,20180528,104745,31.9,109739,6-3 6-2 7-6(4),R16,4,3,91,60,42,19,15,3,5,1,66,70,68
4214,4214,Roland Garros,Clay,20180528,104745,31.9,106043,4-6 6-3 6-2 6-2,QF,1,3,129,74,45,30,18,15,20,1,57,61,58
4218,4218,Roland Garros,Clay,20180528,104745,31.9,105223,6-4 6-1 6-2,SF,0,3,83,51,37,21,13,7,7,1,61,73,72
4220,4220,Roland Garros,Clay,20180528,104745,31.9,106233,6-4 6-3 6-2,F,0,3,82,56,46,12,14,2,3,1,68,82,52
4452,4452,Wimbledon,Grass,20180702,104745,32,104534,6-3 6-3 6-2,R128,3,4,76,56,44,11,13,3,4,1,74,79,69
4484,4484,Wimbledon,Grass,20180702,104745,32,105062,6-4 6-3 6-4,R64,5,3,101,67,43,24,15,11,13,1,66,64,77
4500,4500,Wimbledon,Grass,20180702,104745,32,200282,6-1 6-2 6-4,R32,5,1,76,44,34,23,13,3,3,1,58,77,74
4508,4508,Wimbledon,Grass,20180702,104745,32,106210,6-3 6-3 6-4,R16,9,1,73,50,39,17,14,0,1,1,68,78,77
4512,4512,Wimbledon,Grass,20180702,104745,32,105223,7-5 6-7(7) 4-6 6-4 6-4,QF,3,5,166,116,86,31,28,5,7,1,70,74,69
4820,4820,Canada Masters,Hard,20180806,104745,32.1,105332,6-2 6-3,R32,0,1,49,33,19,8,9,2,5,1,67,58,53
4828,4828,Canada Masters,Hard,20180806,104745,32.1,104527,7-5 7-6(4),R16,2,0,71,44,33,17,12,3,5,1,62,75,63
4832,4832,Canada Masters,Hard,20180806,104745,32.1,105227,2-6 6-4 6-4,QF,4,4,96,57,41,18,14,11,14,1,59,72,51
4834,4834,Canada Masters,Hard,20180806,104745,32.1,111575,7-6(3) 6-4,SF,2,1,69,45,32,14,11,0,1,1,65,71,61
4835,4835,Canada Masters,Hard,20180806,104745,32.1,126774,6-2 7-6(4),F,4,2,57,32,30,15,10,2,3,1,56,94,65
4937,4937,US Open,Hard,20180827,104745,32.2,103970,6-3 3-4 RET,R128,2,3,45,28,20,8,8,1,3,1,62,71,57
5001,5001,US Open,Hard,20180827,104745,32.2,105577,6-3 6-4 6-2,R64,5,2,75,55,46,10,14,4,5,1,73,84,56
5033,5033,US Open,Hard,20180827,104745,32.2,111575,5-7 7-5 7-6(7) 7-6(3),R32,0,3,144,89,63,34,26,6,11,1,62,71,65
5049,5049,US Open,Hard,20180827,104745,32.2,105932,6-3 6-3 6-7(6) 6-4,R16,7,3,118,77,58,25,20,5,7,1,65,75,66
5057,5057,US Open,Hard,20180827,104745,32.2,106233,0-6 6-4 7-5 6-7(4) 7-6(5),QF,3,4,167,110,74,32,26,7,13,1,66,67,60
5637,5637,Melbourne,Hard,20220103,104745,35.5,202195,7-6(6) 6-3,F,9,4,64,41,32,15,11,0,1,1,64,78,79
5638,5638,Melbourne,Hard,20220103,104745,35.5,200325,6-4 7-5,SF,3,1,68,47,36,11,11,5,6,1,69,77,55
5643,5643,Melbourne,Hard,20220103,104745,35.5,105575,6-2 7-5,R16,3,2,57,36,28,9,10,0,2,1,63,78,47
5748,5748,Australian Open,Hard,20220117,104745,35.6,106218,6-1 6-4 6-2,R128,7,2,72,51,43,13,13,2,2,1,71,84,68
5796,5796,Australian Open,Hard,20220117,104745,35.6,105870,6-2 6-3 6-4,R64,1,5,85,46,35,25,14,2,2,1,54,76,74
5819,5819,Australian Open,Hard,20220117,104745,35.6,111575,6-3 6-2 3-6 6-1,R32,4,6,98,66,55,18,17,4,5,1,67,83,69
5831,5831,Australian Open,Hard,20220117,104745,35.6,105173,7-6(14) 6-2 6-2,R16,16,6,88,48,42,24,14,1,2,1,55,88,71
5837,5837,Australian Open,Hard,20220117,104745,35.6,133430,6-3 6-4 4-6 3-6 6-3,QF,8,11,146,100,79,21,24,6,8,1,68,79,60
5840,5840,Australian Open,Hard,20220117,104745,35.6,126610,6-3 6-2 3-6 6-3,SF,5,2,102,70,51,20,18,1,2,1,69,73,67
5842,5842,Australian Open,Hard,20220117,104745,35.6,106421,2-6 6-7(5) 6-4 6-4 7-5,F,3,5,189,117,78,34,26,16,22,1,62,67,51
6117,6117,Acapulco,Hard,20220221,104745,35.7,111815,6-4 6-4,F,3,0,57,45,32,5,10,3,5,1,79,71,42
