level_0,index,tourney_name,surface,tourney_date,player_id,age,opponent_id,score,round,ace,df,svpt,1stIn,1stWon,2ndWon,svGms,bpSaved,bpFaced,result,1stIn(%),1stWon(%),2ndWon(%)
36,36,Doha,Hard,20181231,104527,33.7,111797,6-4 7-6(3),R16,5,1,61,30,28,20,11,0,0,1,49,93,67
45,45,Doha,Hard,20181231,104527,33.7,111575,7-6(7) 6-4,R32,7,1,86,49,36,22,11,4,4,1,57,73,61
248,248,Australian Open,Hard,20190114,104527,33.7,105208,3-6 3-1 RET,R128,3,1,43,21,15,11,7,2,4,1,49,71,52
400,400,Rotterdam,Hard,20190211,104527,33.8,105453,6-2 4-6 6-4,SF,8,1,81,48,37,15,14,4,7,1,59,77,47
403,403,Rotterdam,Hard,20190211,104527,33.8,133430,6-4 7-6(4),QF,3,0,64,32,25,19,11,0,2,1,50,78,59
408,408,Rotterdam,Hard,20190211,104527,33.8,105683,6-4 7-6(4),R16,8,1,63,33,30,20,11,1,1,1,52,91,69
419,419,Rotterdam,Hard,20190211,104527,33.8,105332,7-6(4) 6-1,R32,4,1,62,39,28,12,9,1,2,1,63,72,55
526,526,Acapulco,Hard,20190225,104527,33.9,105449,7-6(5) 6-4,R16,9,1,74,41,34,18,11,2,2,1,55,83,56
534,534,Acapulco,Hard,20190225,104527,33.9,105992,6-4 7-6(6),R32,9,1,65,42,37,12,11,0,1,1,65,88,55
657,657,Indian Wells Masters,Hard,20190304,104527,33.9,105916,6-4 6-7(5) 7-5,R64,5,4,142,87,59,23,17,21,25,1,61,68,45
689,689,Indian Wells Masters,Hard,20190304,104527,33.9,105554,6-7(4) 6-3 6-3,R128,8,0,90,53,44,18,15,7,9,1,59,83,49
898,898,Monte Carlo Masters,Clay,20190415,104527,34,106298,7-5 6-3,R64,7,3,59,28,24,19,11,5,6,1,47,86,68
1043,1043,Madrid Masters,Clay,20190506,104527,34.1,105453,6-3 7-6(3),R16,9,1,62,38,31,18,11,1,1,1,61,82,78
1058,1058,Madrid Masters,Clay,20190506,104527,34.1,105550,6-3 6-4,R32,2,2,77,50,37,14,10,5,5,1,65,74,56
1080,1080,Madrid Masters,Clay,20190506,104527,34.1,105732,6-2 6-3,R64,3,2,45,22,16,20,9,0,0,1,49,73,95
1228,1228,Roland Garros,Clay,20190527,104527,34.1,106075,6-1 6-7(7) 6-2 6-3,R128,19,0,112,69,53,30,18,3,3,1,62,77,70
1274,1274,Roland Garros,Clay,20190527,104527,34.1,106426,6-1 6-4 6-0,R64,7,1,77,44,32,21,12,5,5,1,57,73,66
1297,1297,Roland Garros,Clay,20190527,104527,34.1,105777,7-6(5) 7-6(4) 7-6(8),R32,14,4,126,64,49,37,18,2,4,1,51,77,64
1308,1308,Roland Garros,Clay,20190527,104527,34.1,126774,7-6(6) 5-7 6-4 3-6 8-6,R16,16,3,206,128,91,40,29,22,27,1,62,71,53
1429,1429,Queen's Club,Grass,20190617,104527,34.2,105554,6-3 6-4,R32,7,1,55,31,26,17,10,2,2,1,56,84,74
1507,1507,Wimbledon,Grass,20190701,104527,34.2,105074,6-3 6-2 6-2,R128,7,4,73,42,32,24,13,0,0,1,58,76,89
1922,1922,Canada Masters,Hard,20190805,104527,34.3,105777,6-4 6-4,R64,12,2,61,36,31,10,10,1,2,1,59,86,43
1971,1971,Cincinnati Masters,Hard,20190812,104527,34.3,105777,5-7 6-4 7-6(4),R64,10,0,108,55,40,31,17,4,8,1,51,73,58
2039,2039,US Open,Hard,20190826,104527,34.4,206173,6-3 7-6(4) 4-6 6-3,R128,15,6,148,92,66,29,22,10,14,1,62,72,58
2101,2101,US Open,Hard,20190826,104527,34.4,104871,6-4 6-3 6-7(3) 6-3,R64,19,2,118,62,50,40,22,2,2,1,53,81,74
2130,2130,US Open,Hard,20190826,104527,34.4,103893,6-4 7-6(9) 7-6(4),R32,24,3,126,67,54,32,19,11,13,1,53,81,57
2145,2145,US Open,Hard,20190826,104527,34.4,104925,6-4 7-5 2-1 RET,R16,9,3,70,38,32,18,12,4,5,1,54,84,62
2386,2386,Antwerp,Hard,20191014,104527,34.5,206173,6-3 6-2,SF,8,1,46,26,21,13,9,1,2,1,57,81,68
2389,2389,Antwerp,Hard,20191014,104527,34.5,104468,6-3 6-7(6) 6-2,QF,5,3,98,60,43,21,14,2,3,1,61,72,60
2394,2394,Antwerp,Hard,20191014,104527,34.5,103852,6-7(4) 6-4 7-6(4),R16,17,2,105,72,61,22,17,3,3,1,69,85,71
2473,2473,Basel,Hard,20191021,104527,34.5,126207,6-3 3-6 7-5,R16,14,2,83,52,45,17,15,4,5,1,63,87,59
2483,2483,Basel,Hard,20191021,104527,34.5,104655,6-3 6-4,R32,10,0,51,31,28,14,10,0,0,1,61,90,70
2555,2555,Paris Masters,Hard,20191028,104527,34.5,105227,7-6(3) 7-6(5),R32,10,2,91,58,45,17,12,7,8,1,64,78,55
2869,2869,Australian Open,Hard,20180115,104527,32.8,105575,6-3 6-4 2-6 7-6(2),R128,15,5,134,67,48,36,20,5,9,1,50,72,58
3133,3133,Sofia,Hard,20180205,104527,32.8,105373,4-6 6-2 6-3,R16,16,4,85,50,42,17,14,5,6,1,59,84,55
3137,3137,Sofia,Hard,20180205,104527,32.8,104678,6-1 7-6(3),QF,4,3,72,40,30,17,10,1,2,1,56,75,59
4057,4057,Geneva,Clay,20180521,104527,33.1,111577,6-3 6-4,R16,6,2,56,37,30,13,10,0,0,1,66,81,76
4319,4319,Queen's Club,Grass,20180618,104527,33.2,111815,6-2 6-3,R32,13,2,48,29,25,11,9,0,0,1,60,86,65
4421,4421,Wimbledon,Grass,20180702,104527,33.2,105777,1-6 7-6(3) 7-6(5) 6-4,R128,9,2,136,87,71,17,20,10,14,1,64,82,36
4802,4802,Canada Masters,Hard,20180806,104527,33.3,106401,1-6 7-5 7-5,R64,13,4,98,51,40,23,15,4,6,1,52,78,53
4819,4819,Canada Masters,Hard,20180806,104527,33.3,105916,1-6 7-6(2) 7-6(10),R32,4,2,108,70,49,20,15,4,8,1,65,70,56
4839,4839,Cincinnati Masters,Hard,20180813,104527,33.3,106043,6-2 4-6 6-3,R64,6,3,78,47,37,14,13,3,5,1,60,79,50
4862,4862,Cincinnati Masters,Hard,20180813,104527,33.3,105453,6-4 6-4,R32,8,2,52,31,25,13,10,0,1,1,60,81,68
4877,4877,Cincinnati Masters,Hard,20180813,104527,33.3,105916,6-4 6-3,R16,3,1,51,36,31,9,10,0,0,1,71,86,64
4968,4968,US Open,Hard,20180827,104527,33.4,105777,6-3 6-2 7-5,R128,6,3,111,68,46,25,15,7,8,1,61,68,62
5016,5016,US Open,Hard,20180827,104527,33.4,200005,7-6(5) 4-6 6-3 7-5,R64,6,4,136,69,50,38,22,7,11,1,51,72,60
5143,5143,St. Petersburg,Hard,20180917,104527,33.4,105379,7-5 7-6(5),R32,5,5,83,43,31,24,12,4,5,1,52,72,69
5154,5154,St. Petersburg,Hard,20180917,104527,33.4,111575,7-6(10) 7-6(1),R16,6,4,89,44,32,27,12,5,7,1,49,73,66
5161,5161,St. Petersburg,Hard,20180917,104527,33.4,106000,6-3 6-4,QF,6,0,55,38,27,12,10,3,4,1,69,71,71
5264,5264,Tokyo,Hard,20181001,104527,33.5,126203,6-3 6-4,R32,10,2,53,32,31,12,10,2,2,1,60,97,63
6702,6702,Rome Masters,Clay,20220509,104527,37.1,111513,7-6(8) 3-6 6-4,R32,7,4,89,49,39,23,15,1,3,1,55,80,64
6719,6719,Rome Masters,Clay,20220509,104527,37.1,124187,3-6 7-5 6-2,R64,8,2,98,52,36,27,14,8,10,1,53,69,61
6907,6907,Queen's Club,Grass,20220613,104527,37.2,126207,7-6(2) 6-7(6) 7-6(5),R32,22,2,132,76,68,24,18,6,7,1,58,89,44
7784,7784,Doha,Hard,20200106,104527,34.7,105379,6-3 6-4,QF,5,0,58,29,27,16,10,2,2,1,50,93,55
