level_0,index,tourney_name,surface,tourney_date,player_id,age,opponent_id,score,round,ace,df,svpt,1stIn,1stWon,2ndWon,svGms,bpSaved,bpFaced,result,1stIn(%),1stWon(%),2ndWon(%)
18,18,Brisbane,Hard,20181231,104918,31.6,105902,6-3 6-4,R32,6,4,66,39,28,16,10,4,5,1,59,72,70
2263,2263,Zhuhai,Hard,20190923,104918,32.3,105815,6-3 6-7(6) 6-1,R32,13,1,83,51,45,21,15,0,0,1,61,88,68
2276,2276,Beijing,Hard,20190930,104918,32.3,111815,7-6(6) 6-7(4) 6-1,R16,6,2,98,58,41,27,16,1,3,1,59,71,71
2286,2286,Beijing,Hard,20190930,104918,32.3,126610,7-6(2) 7-6(7),R32,8,0,80,55,41,15,12,5,7,1,69,75,60
2371,2371,Shanghai Masters,Hard,20191007,104918,32.3,106228,2-6 6-2 6-3,R64,10,4,99,61,40,17,13,7,10,1,62,66,50
2385,2385,Antwerp,Hard,20191014,104918,32.4,104527,3-6 6-4 6-4,F,9,3,86,48,35,16,14,8,12,1,56,73,46
2387,2387,Antwerp,Hard,20191014,104918,32.4,200005,3-6 7-5 6-2,SF,6,5,89,47,36,20,14,4,6,1,53,77,54
2390,2390,Antwerp,Hard,20191014,104918,32.4,105657,6-3 6-7(7) 6-4,QF,9,4,88,45,39,23,15,2,4,1,51,87,59
2396,2396,Antwerp,Hard,20191014,104918,32.4,104655,6-4 6-3,R16,12,2,56,33,27,17,10,4,4,1,59,82,81
2407,2407,Antwerp,Hard,20191014,104918,32.4,106293,6-4 7-6(4),R32,5,5,73,40,30,15,11,2,5,1,55,75,54
2614,2614,Davis Cup Finals RR: GBR vs NED,Hard,20191120,104918,32.5,134868,6-7(7) 6-4 7-6(5),RR,12,2,110,68,55,22,17,1,3,1,62,81,55
4363,4363,Eastbourne,Grass,20180625,104918,31.1,104527,6-1 6-3,R32,2,2,57,31,25,13,8,4,4,1,54,81,54
4739,4739,Washington,Hard,20180730,104918,31.2,111456,3-6 6-4 7-5,R64,4,6,108,55,38,25,16,5,10,1,51,69,53
